,TRACTCE,Disadvantage,Medfaminc,SNAP%,PovertyRate,mrFEI,mrFEI_food_desert_swamp,mrFEI_food_desert,TargetLabel,mrFEI_food_desert_swamp_cluster_desert
350,020700,0.057795096,190843.0,0.054973822,5.4,0.5,0,0,0,0
351,022200,0.512297094,42730.0,0.587831199,35.4,0.4,0,0,1,1
352,099200,0.100984365,92721.0,0.123955429,12.0,0.0,1,1,0,1
353,0102400,0.157233626,100104.0,0.108450703,3.9,0.0,1,1,0,1
354,02000,0.323031485,56875.0,0.283505142,30.5,0.0,1,1,1,1
355,047600,0.300035626,73000.0,0.234953701,30.2,0.5454545454545454,0,0,1,1
356,079802,0.117539212,77482.0,0.093711466,15.6,0.125,0,0,0,0
357,082200,0.238219664,71531.0,0.331487626,14.0,0.1818181818181818,0,0,0,0
358,049100,0.400333285,35880.0,0.352807283,22.6,0.5,0,0,1,1
359,015300,0.052442487,198750.0,0.035056967,4.1,0.15,0,0,0,0
360,015700,0.023769807,179766.0,0.027911453,4.7,0.3529411764705882,0,0,0,0
361,091000,0.589250326,25774.0,0.685177445,61.5,0.5555555555555556,0,0,1,1
362,0105801,0.49437955,26890.0,0.440379769,28.9,0.0,1,1,1,1
363,0115000,0.350092471,58380.0,0.502910376,33.9,0.6153846153846154,0,0,1,1
364,052700,0.227744937,55150.0,0.279683381,26.8,0.5882352941176471,0,0,1,1
365,055300,0.153397024,113750.0,0.043350477,8.4,0.1333333333333333,0,0,0,0
366,067200,0.17150794,100086.0,0.273684204,6.8,0.75,0,0,0,0
367,070000,0.035716206,95938.0,0.035661217,7.7,0.2,0,0,0,0
368,013400,0.175018504,109605.0,0.166064978,5.8,0.4166666666666667,0,0,0,0
369,020800,0.189990714,70481.0,0.231508166,12.8,0.0,1,1,0,1
370,043100,0.307384133,51023.0,0.306637406,31.1,0.4615384615384615,0,0,1,1
371,027200,0.266831458,74226.0,0.304776341,26.2,0.625,0,0,1,1
372,046201,0.296418309,67850.0,0.459734976,16.0,0.8181818181818182,0,0,1,1
373,047200,0.278974831,60982.0,0.241001561,25.4,0.5,0,0,1,1
374,024900,0.156604111,117885.0,0.156696662,14.2,0.2666666666666666,0,0,0,0
375,023200,0.444352418,43438.0,0.448784709,51.8,0.6666666666666666,0,0,1,1
376,010000,0.319964141,57986.0,0.358708203,30.0,0.3076923076923077,0,0,1,1
377,089800,0.222270101,73214.0,0.222891569,27.2,0.4,0,0,1,1
378,062800,0.099192604,103583.0,0.082007341,9.8,0.4,0,0,0,0
379,063800,0.060184982,118611.0,0.015831135,6.1,0.0,1,1,0,1
380,016500,0.031219052,250001.0,0.01077122,3.9,0.0,1,1,0,1
381,098800,0.097690187,92965.0,0.12956205,12.4,0.0,1,1,0,1
382,0102000,0.038389377,116862.0,0.03846154,9.2,0.0,1,1,0,1
383,031300,0.189442739,113138.0,0.19910714,20.3,0.375,0,0,0,0
384,035500,0.266961008,68627.0,0.344727963,16.3,0.2727272727272727,0,0,1,1
385,041700,0.433099568,35472.0,0.481481493,23.3,0.3333333333333333,0,0,1,1
386,060800,0.201864064,84088.0,0.211656436,17.1,0.1071428571428571,0,0,0,0
387,016100,0.030430935,192500.0,0.047619049,13.0,0.2333333333333333,0,0,0,0
388,011200,0.363209367,50851.0,0.419278264,40.9,0.7142857142857143,0,0,1,1
389,052300,0.199382544,69932.0,0.200539574,23.7,0.2826086956521739,0,0,0,0
390,077400,0.111297607,84674.0,0.139250189,17.9,0.4545454545454545,0,0,0,0
391,07800,0.251958787,71762.0,0.263307303,18.4,0.4545454545454545,0,0,0,0
